MD                  	REF                 
396.24              	0.0                 
397.24              	0.0                 
398.24              	0.0                 
399.24              	0.0                 
400.24              	0.0                 
401.24              	0.0                 
402.24              	0.0                 
403.24              	0.0                 
403.86              	0.0                 
404.86              	0.0                 
405.86              	0.0                 
406.86              	0.0                 
407.86              	0.0                 
408.86              	0.0                 
409.86              	0.0                 
410.86              	0.0                 
411.48              	0.0                 
412.48              	0.0                 
413.48              	0.0                 
414.48              	0.0                 
415.48              	0.0                 
416.48              	0.0                 
417.48              	0.0                 
418.48              	0.0                 
419.1               	0.0                 
420.1               	0.0                 
421.1               	0.0                 
422.1               	0.0                 
423.1               	0.0                 
424.1               	0.0                 
425.1               	0.0                 
426.1               	0.0                 
426.72              	0.0                 
427.72              	0.0                 
428.72              	0.0                 
429.72              	0.0                 
430.72              	0.0                 
431.72              	0.0                 
432.72              	0.0                 
433.72              	0.0                 
434.34000000000003  	0.0                 
435.34000000000003  	0.0                 
436.34000000000003  	0.0                 
437.34000000000003  	0.0                 
438.34000000000003  	0.0                 
439.34000000000003  	0.0                 
440.34000000000003  	0.0                 
441.34000000000003  	0.0                 
441.96000000000004  	0.0                 
442.96000000000004  	0.0                 
443.96000000000004  	0.0                 
444.96000000000004  	0.0                 
445.96000000000004  	0.0                 
446.96000000000004  	0.0                 
447.96000000000004  	0.0                 
448.96000000000004  	0.0                 
449.58000000000004  	0.0                 
450.58000000000004  	0.0                 
451.58000000000004  	0.0                 
452.58000000000004  	0.0                 
453.58000000000004  	0.0                 
454.58000000000004  	0.0                 
455.58000000000004  	0.0                 
456.58000000000004  	0.0                 
457.20000000000005  	0.0                 
458.20000000000005  	0.0                 
459.20000000000005  	0.0                 
460.20000000000005  	0.0                 
461.20000000000005  	0.0                 
462.20000000000005  	0.0                 
463.20000000000005  	0.0                 
464.20000000000005  	0.0                 
464.82000000000005  	0.0                 
465.82000000000005  	0.0                 
466.82000000000005  	0.0                 
467.82000000000005  	0.0                 
468.82000000000005  	0.0                 
469.82000000000005  	0.0                 
470.82000000000005  	0.0                 
471.82000000000005  	0.0                 
472.44              	0.0                 
473.44              	0.0                 
474.44              	0.0                 
475.44              	0.0                 
476.44              	0.0                 
477.44              	0.0                 
478.44              	0.0                 
479.44              	0.0                 
480.06              	0.0                 
481.06              	0.0                 
482.06              	0.0                 
483.06              	0.0                 
484.06              	0.0                 
485.06              	0.0                 
486.06              	0.0                 
487.06              	0.0                 
487.68              	0.0                 
488.68              	0.0                 
489.68              	0.0                 
490.68              	0.0                 
491.68              	0.0                 
492.68              	0.0                 
493.68              	0.0                 
494.68              	0.0                 
495.3               	0.0                 
496.3               	0.0                 
497.3               	0.0                 
498.3               	0.0                 
499.3               	0.0                 
500.3               	0.0                 
501.3               	0.0                 
502.3               	0.0                 
502.92              	0.0                 
503.92              	0.0                 
504.92              	0.0                 
505.92              	0.0                 
506.92              	0.0                 
507.92              	0.0                 
508.92              	0.0                 
509.92              	0.0                 
510.54              	0.0                 
511.54              	0.0                 
512.54              	0.0                 
513.54              	0.0                 
514.54              	0.0                 
515.54              	0.0                 
516.54              	0.0                 
517.54              	0.0                 
518.1600000000001   	0.0                 
519.1600000000001   	0.0                 
520.1600000000001   	0.0                 
521.1600000000001   	0.0                 
522.1600000000001   	0.0                 
523.1600000000001   	0.0                 
524.1600000000001   	0.0                 
525.1600000000001   	0.0                 
525.78              	0.0                 
526.78              	0.0                 
527.78              	0.0                 
528.78              	0.0                 
529.78              	0.0                 
530.78              	0.0                 
531.78              	0.0                 
532.78              	0.0                 
533.4               	0.0                 
534.4               	0.0                 
535.4               	0.0                 
536.4               	0.0                 
537.4               	0.0                 
538.4               	0.0                 
539.4               	0.0                 
540.4               	0.0                 
541.02              	0.0                 
542.02              	0.0                 
543.02              	0.0                 
544.02              	0.0                 
545.02              	0.0                 
546.02              	0.0                 
547.02              	0.0                 
548.02              	0.0                 
548.64              	0.0                 
549.64              	0.0                 
550.64              	0.0                 
551.64              	0.0                 
552.64              	0.0                 
553.64              	0.0                 
554.64              	0.0                 
555.64              	0.0                 
556.26              	0.0                 
557.26              	0.0                 
558.26              	0.0                 
559.26              	0.0                 
560.26              	0.0                 
561.26              	0.0                 
562.26              	0.0                 
563.26              	0.0                 
563.88              	0.0                 
564.88              	0.0                 
565.88              	0.0                 
566.88              	0.0                 
567.88              	0.0                 
568.88              	0.0                 
569.88              	0.0                 
570.88              	0.0                 
571.5               	0.0                 
572.5               	0.0                 
573.5               	0.0                 
574.5               	0.0                 
575.5               	0.0                 
576.5               	0.0                 
577.5               	0.0                 
578.5               	0.0                 
579.12              	0.0                 
580.12              	0.0                 
581.12              	0.0                 
582.12              	0.0                 
583.12              	0.0                 
584.12              	0.0                 
585.12              	0.0                 
586.12              	0.0                 
586.74              	0.0                 
587.74              	0.0                 
588.74              	0.0                 
589.74              	0.0                 
590.74              	0.0                 
591.74              	0.0                 
592.74              	0.0                 
593.74              	0.0                 
594.36              	0.0                 
595.36              	0.0                 
596.36              	0.0                 
597.36              	0.0                 
598.36              	0.0                 
