MD                	REF               
106.68            	106.68            
107.68            	107.68            
108.68            	108.68            
109.68            	109.68            
110.68            	110.68            
111.68            	111.68            
112.68            	112.68            
113.68            	113.68            
114.30000000000001	114.30000000000001
115.30000000000001	115.30000000000001
116.30000000000001	116.30000000000001
117.30000000000001	117.30000000000001
118.30000000000001	118.30000000000001
119.30000000000001	119.30000000000001
120.30000000000001	120.30000000000001
121.30000000000001	121.30000000000001
121.92            	121.92            
122.92            	122.92            
123.92            	123.92            
124.92            	124.92            
125.92            	125.92            
126.92            	126.92            
127.92            	127.92            
128.92000000000002	128.92000000000002
129.54000000000002	129.54000000000002
130.54000000000002	130.54000000000002
131.54000000000002	131.54000000000002
132.54000000000002	132.54000000000002
133.54000000000002	133.54000000000002
134.54000000000002	134.54000000000002
135.54000000000002	135.54000000000002
136.54000000000002	136.54000000000002
137.16            	137.16            
138.16            	138.16            
139.16            	139.16            
140.16            	140.16            
141.16            	141.16            
142.16            	142.16            
143.16            	143.16            
144.16            	144.16            
144.78            	144.78            
145.78            	145.78            
146.78            	146.78            
147.78            	147.78            
148.78            	148.78            
149.78            	149.78            
150.78            	150.78            
151.78            	151.78            
152.4             	152.4             
153.4             	153.4             
154.4             	154.4             
155.4             	155.4             
156.4             	156.4             
157.4             	157.4             
158.4             	158.4             
159.4             	159.4             
160.02            	160.02            
161.02            	161.02            
162.02            	162.02            
163.02            	163.02            
164.02            	164.02            
165.02            	165.02            
166.02            	166.02            
167.02            	167.02            
167.64000000000001	167.64000000000001
168.64000000000001	168.64000000000001
169.64000000000001	169.64000000000001
170.64000000000001	170.64000000000001
171.64000000000001	171.64000000000001
172.64000000000001	172.64000000000001
173.64000000000001	173.64000000000001
174.64000000000001	174.64000000000001
175.26000000000002	175.26000000000002
176.26000000000002	176.26000000000002
177.26000000000002	177.26000000000002
178.26000000000002	178.26000000000002
179.26000000000002	179.26000000000002
180.26000000000002	180.26000000000002
181.26000000000002	181.26000000000002
182.26000000000002	182.26000000000002
182.88            	182.88            
183.88            	183.88            
184.88            	184.88            
185.88            	185.88            
186.88            	186.88            
187.88            	187.88            
188.88            	188.88            
189.88            	189.88            
190.5             	190.5             
191.5             	191.5             
192.5             	192.5             
193.5             	193.5             
194.5             	194.5             
195.5             	195.5             
196.5             	196.5             
197.5             	197.5             
198.12            	198.12            
199.12            	199.12            
200.12            	200.12            
201.12            	201.12            
202.12            	202.12            
203.12            	203.12            
204.12            	204.12            
205.12            	205.12            
205.74            	205.74            
206.74            	206.74            
207.74            	207.74            
208.74            	208.74            
209.74            	209.74            
210.74            	210.74            
211.74            	211.74            
212.74            	212.74            
213.36            	213.36            
214.36            	214.36            
215.36            	215.36            
216.36            	216.36            
217.36            	217.36            
218.36            	218.36            
219.36            	219.36            
220.36            	220.36            
220.98000000000002	220.98000000000002
221.98000000000002	221.98000000000002
222.98000000000002	222.98000000000002
223.98000000000002	223.98000000000002
224.98000000000002	224.98000000000002
225.98000000000002	225.98000000000002
226.98000000000002	226.98000000000002
227.98000000000002	227.98000000000002
228.60000000000002	228.60000000000002
229.60000000000002	229.60000000000002
230.60000000000002	230.60000000000002
231.60000000000002	231.60000000000002
232.60000000000002	232.60000000000002
233.60000000000002	233.60000000000002
234.60000000000002	234.60000000000002
235.60000000000002	235.60000000000002
236.22            	236.22            
237.22            	237.22            
238.22            	238.22            
239.22            	239.22            
240.22            	240.22            
241.22            	241.22            
242.22            	242.22            
243.22            	243.22            
243.84            	243.84            
244.84            	244.84            
245.84            	245.84            
246.84            	246.84            
247.84            	247.84            
248.84            	248.84            
249.84            	249.84            
250.84            	250.84            
251.46            	251.46            
252.46            	252.46            
253.46            	253.46            
254.46            	254.46            
255.46            	255.46            
256.46000000000004	256.46000000000004
257.46000000000004	257.46000000000004
258.46000000000004	258.46000000000004
259.08000000000004	259.08000000000004
260.08000000000004	260.08000000000004
261.08000000000004	261.08000000000004
262.08000000000004	262.08000000000004
263.08000000000004	263.08000000000004
264.08000000000004	264.08000000000004
265.08000000000004	265.08000000000004
266.08000000000004	266.08000000000004
266.7             	266.7             
267.7             	267.7             
268.7             	268.7             
269.7             	269.7             
270.7             	270.7             
